--- base_link Visuals sorted by Max Z ---
Mesh: Part_9.stl                          | Visual: 7   | Z bounds: [-0.0460, -0.0260] | XYZ: [0.0433357, -0.0390452, 0.0414722]
Mesh: Part_7.stl                          | Visual: 13  | Z bounds: [-0.0460, -0.0260] | XYZ: [0.0433357, -0.0390452, 0.0414722]
Mesh: Part_8.stl                          | Visual: 19  | Z bounds: [-0.0460, -0.0260] | XYZ: [0.0433357, -0.0390452, 0.0414722]
Mesh: Part_35.stl                         | Visual: 17  | Z bounds: [-0.0490, -0.0260] | XYZ: [0.0433357, -0.0315452, -0.0430278]
Mesh: Part_14.stl                         | Visual: 6   | Z bounds: [-0.0260, -0.0220] | XYZ: [0.0433357, -0.0390452, 0.0414722]
Mesh: Part_15.stl                         | Visual: 20  | Z bounds: [-0.1310, -0.0180] | XYZ: [0.0433357, -0.0390452, 0.0414722]
Mesh: Part_16.stl                         | Visual: 23  | Z bounds: [-0.1310, -0.0180] | XYZ: [0.0433357, -0.0390452, 0.0414722]
Mesh: _3D_ELVM6040V48EH_M17_HD_90.stl     | Visual: 222 | Z bounds: [0.0100, 0.0139] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_65.stl     | Visual: 196 | Z bounds: [0.0097, 0.0142] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_97.stl     | Visual: 229 | Z bounds: [0.0089, 0.0149] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_62.stl     | Visual: 193 | Z bounds: [0.0206, 0.0245] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_77.stl     | Visual: 209 | Z bounds: [0.0203, 0.0248] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_105.stl    | Visual: 237 | Z bounds: [0.0195, 0.0255] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_73.stl     | Visual: 204 | Z bounds: [0.0228, 0.0283] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_75.stl     | Visual: 207 | Z bounds: [0.0228, 0.0283] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_56.stl     | Visual: 187 | Z bounds: [0.0243, 0.0288] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_103.stl    | Visual: 235 | Z bounds: [0.0253, 0.0298] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_64.stl     | Visual: 195 | Z bounds: [0.0326, 0.0384] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_78.stl     | Visual: 210 | Z bounds: [0.0308, 0.0402] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_76.stl     | Visual: 208 | Z bounds: [0.0347, 0.0405] | XYZ: [0.0108515, -0.152081, 0.175945]
Mesh: _3D_ELVM6040V48EH_M17_HD_99.stl     | Visual: 231 | Z bounds: [0.0301, 0.0409] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_94.stl     | Visual: 226 | Z bounds: [0.0318, 0.0412] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_91.stl     | Visual: 223 | Z bounds: [0.0296, 0.0415] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_58.stl     | Visual: 189 | Z bounds: [0.0311, 0.0419] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_98.stl     | Visual: 230 | Z bounds: [0.0289, 0.0421] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_61.stl     | Visual: 192 | Z bounds: [0.0306, 0.0425] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_109.stl    | Visual: 241 | Z bounds: [0.0285, 0.0425] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_82.stl     | Visual: 214 | Z bounds: [0.0237, 0.0427] | XYZ: [0.005199, -0.147238, 0.171522]
Mesh: _3D_ELVM6040V48EH_M17_HD_92.stl     | Visual: 224 | Z bounds: [0.0299, 0.0431] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_81.stl     | Visual: 213 | Z bounds: [0.0295, 0.0435] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_80.stl     | Visual: 212 | Z bounds: [0.0246, 0.0436] | XYZ: [0.0297232, -0.134691, 0.173447]
Mesh: _3D_ELVM6040V48EH_M17_HD_100.stl    | Visual: 232 | Z bounds: [0.0261, 0.0449] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_86.stl     | Visual: 218 | Z bounds: [0.0325, 0.0450] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_102.stl    | Visual: 234 | Z bounds: [0.0271, 0.0459] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_106.stl    | Visual: 238 | Z bounds: [0.0265, 0.0465] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_55.stl     | Visual: 186 | Z bounds: [0.0423, 0.0468] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_85.stl     | Visual: 217 | Z bounds: [0.0243, 0.0468] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_83.stl     | Visual: 215 | Z bounds: [0.0433, 0.0478] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_63.stl     | Visual: 194 | Z bounds: [0.0253, 0.0478] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_101.stl    | Visual: 233 | Z bounds: [0.0230, 0.0480] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_95.stl     | Visual: 227 | Z bounds: [0.0240, 0.0490] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_69.stl     | Visual: 200 | Z bounds: [0.0230, 0.0500] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_74.stl     | Visual: 206 | Z bounds: [0.0448, 0.0503] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_89.stl     | Visual: 221 | Z bounds: [0.0448, 0.0503] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_87.stl     | Visual: 219 | Z bounds: [0.0335, 0.0504] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_79.stl     | Visual: 211 | Z bounds: [0.0215, 0.0515] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_71.stl     | Visual: 202 | Z bounds: [0.0486, 0.0525] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_67.stl     | Visual: 198 | Z bounds: [0.0483, 0.0528] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_68.stl     | Visual: 199 | Z bounds: [0.0475, 0.0535] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_59.stl     | Visual: 190 | Z bounds: [0.0297, 0.0553] | XYZ: [0.0318723, -0.15348, 0.174853]
Mesh: _3D_ELVM6040V48EH_M17_HD_60.stl     | Visual: 191 | Z bounds: [0.0389, 0.0564] | XYZ: [0.0318723, -0.15348, 0.174853]
